date,open,high,low,close,vol
20250630,73.8,76.8,73.63,75.2,253784.44
20250701,75.0,76.4,70.5,70.58,189620.97
20250702,70.0,73.68,69.0,70.5,140938.45
20250703,70.1,74.2,69.2,72.5,182992.74
20250704,72.18,77.28,71.0,76.97,238982.94
20250707,75.0,81.0,74.5,79.6,282577.95
20250708,79.6,79.6,74.3,75.0,175628.83
20250709,75.0,79.0,73.8,78.23,138560.29
20250710,78.5,81.0,75.8,78.0,181885.71
20250711,78.97,82.0,77.8,78.46,143576.57
20250714,78.25,81.57,77.0,78.2,152932.85
20250715,80.52,80.52,75.8,76.3,143686.73
20250716,76.99,78.66,74.77,75.69,143926.22
20250717,74.67,77.58,73.61,74.65,131272.23
20250718,75.0,76.2,72.02,73.65,148617.53
20250721,73.0,75.5,71.5,72.76,161630.05
20250722,70.0,73.8,69.0,72.1,161413.0
20250723,72.2,73.38,70.0,70.14,131548.34
20250724,69.48,71.58,67.5,68.58,139098.02
20250725,68.0,70.88,66.95,69.99,154369.74
20250728,69.5,74.27,69.45,73.85,190666.08
20250729,72.0,74.5,70.8,73.63,128889.28
20250730,72.4,74.97,71.13,72.5,124189.69
20250731,72.5,78.5,72.0,76.8,240422.53
20250801,76.0,79.78,73.5,76.23,186331.35
20250804,76.0,80.58,74.3,79.63,210276.43
20250805,79.0,83.3,78.0,80.28,217620.84
20250806,79.95,84.99,78.11,83.65,188694.18
20250807,84.0,86.0,80.61,81.0,166449.04
20250808,80.0,82.99,78.5,81.56,138268.76
20250811,81.0,88.0,80.72,86.33,240331.21
20250812,85.17,90.22,84.2,88.16,231563.73
20250813,88.36,90.9,86.6,87.63,163241.95
20250814,88.5,90.18,86.4,86.9,108479.31
20250815,86.0,88.88,85.12,88.33,120669.12
20250818,87.8,90.59,86.5,86.78,120594.39
20250819,86.37,88.8,85.64,86.45,100519.1
20250820,90.24,92.8,87.0,88.86,196759.34
20250821,89.0,92.5,88.0,91.25,159645.24
20250822,93.0,96.0,88.5,89.5,245413.09
20250825,90.0,93.47,89.01,91.87,170135.35
20250826,92.0,96.2,90.0,91.55,204556.43
20250827,91.0,94.39,89.71,92.48,140628.06
20250828,92.3,93.0,87.1,88.87,145693.22
20250829,88.1,91.4,87.0,89.5,132356.51
20250902,90.0,94.0,89.0,93.96,199700.99
20250903,95.0,95.77,91.0,91.09,201562.72
20250904,90.0,94.49,89.34,93.23,207637.0
20250905,93.5,93.5,88.1,88.22,281883.7
20250909,88.76,90.5,85.5,87.28,140698.55
20250910,87.0,91.27,86.63,90.17,168503.86
20250911,89.78,90.7,87.3,88.18,120969.56
20250912,88.11,90.7,86.5,88.95,131248.92
20250918,90.2,95.2,89.1,93.22,190956.08
20250919,93.5,96.79,91.37,95.43,249070.87
20250922,96.0,96.0,90.0,91.52,291390.25
20250923,91.5,94.99,90.5,92.99,230558.51
20250924,92.7,95.2,88.8,92.4,319896.23
20250925,92.0,94.3,89.12,90.48,253144.14
20250926,90.0,93.33,87.5,89.29,314861.67
20250929,89.0,90.91,83.21,84.79,333014.82
20250930,85.18,87.88,82.5,83.0,368331.01
